time,reading
1688276469.3840747,0
1688276469.3851619,0
1688276469.3862498,0
1688276469.3873374,0
1688276469.3884258,0
1688276469.3895144,0
1688276469.3906024,0
1688276469.3916895,0
1688276469.3927772,0
1688276469.3938663,0
1688276469.394954,0
1688276469.396043,0
1688276469.3971312,0
1688276469.398219,0
1688276469.399306,0
1688276469.4003932,0
1688276469.4014816,0
1688276469.4025695,0
1688276469.4036572,0
1688276469.4047446,0
1688276469.4058332,0
1688276469.406921,0
1688276469.4080079,0
1688276469.4090967,0
1688276469.4101844,0
1688276469.411272,0
1688276469.412359,0
1688276469.4134471,0
1688276469.4145346,0
1688276469.4156225,0
1688276469.4167094,0
1688276469.4177985,0
1688276469.4188862,0
1688276469.419974,0
1688276469.4210627,0
1688276469.4221506,0
1688276469.423238,0
1688276469.4243252,0
1688276469.4254136,0
1688276469.4265084,0
1688276469.42762,0
1688276469.4287357,0
1688276469.429846,0
1688276469.4309547,0
1688276469.4320724,0
1688276469.4331768,0
1688276469.4342728,0
1688276469.43537,0
1688276469.436482,0
1688276469.437595,0
1688276469.4389565,0
1688276469.4400742,0
1688276469.4413476,0
1688276469.4424782,0
1688276469.4436002,0
1688276469.4447567,0
1688276469.4458725,0
1688276469.446967,0
1688276469.448099,0
1688276469.4492273,0
1688276469.4503317,0
1688276469.45142,0
1688276469.4525077,0
1688276469.4535954,0
1688276469.454683,0
1688276469.45577,0
1688276469.4568594,0
1688276469.4579499,0
1688276469.459036,0
1688276469.4601219,0
1688276469.4612103,0
1688276469.4623008,0
1688276469.4634633,0
1688276469.464553,0
1688276469.465652,0
1688276469.46676,0
1688276469.4678652,0
1688276469.4689715,0
1688276469.4700778,0
1688276469.4711838,0
1688276469.4722927,0
1688276469.4733984,0
1688276469.4745016,0
1688276469.475605,0
1688276469.476707,0
1688276469.4778135,0
1688276469.4789217,0
1688276469.4800282,0
1688276469.4811342,0
1688276469.4822383,0
1688276469.483342,0
1688276469.4844441,0
1688276469.4855509,0
1688276469.4866583,0
1688276469.4877656,0
1688276469.4888737,0
1688276469.489982,0
1688276469.491088,0
1688276469.4921932,0
1688276469.4932992,0
1688276469.4944048,0
1688276469.4955108,0
1688276469.496617,0
1688276469.497724,0
1688276469.49883,0
1688276469.4999354,0
1688276469.5010438,0
1688276469.50215,0
1688276469.5032558,0
1688276469.5043619,0
1688276469.5054698,0
1688276469.5065763,0
1688276469.5076826,0
1688276469.508788,0
1688276469.509896,0
1688276469.5110018,0
1688276469.5121076,0
1688276469.513215,0
1688276469.514321,0
1688276469.5154276,0
1688276469.5165336,0
1688276469.5176413,0
1688276469.518747,0
1688276469.5198529,0
1688276469.520962,0
1688276469.522068,0
1688276469.5231733,0
1688276469.5242796,0
1688276469.5253875,0
1688276469.5264943,0
1688276469.5276,0
1688276469.5287054,0
1688276469.529813,0
1688276469.5309186,0
1688276469.532025,0
1688276469.5331326,0
1688276469.5342386,0
1688276469.5353463,0
1688276469.536452,0
1688276469.5375593,0
1688276469.538666,0
1688276469.539771,0
1688276469.5408857,0
1688276469.542022,0
1688276469.5431485,0
1688276469.5442555,0
1688276469.5453618,0
1688276469.5464685,0
1688276469.547575,0
1688276469.548997,0
1688276469.5501122,0
1688276469.5512202,0
1688276469.5523276,0
1688276469.5534368,0
1688276469.5545433,0
1688276469.5556493,0
1688276469.5567553,0
1688276469.5578635,0
1688276469.558971,0
1688276469.5600767,0
1688276469.561185,0
1688276469.5622911,0
1688276469.5634851,0
1688276469.5645952,0
1688276469.5657039,0
1688276469.5668151,0
1688276469.5679321,0
1688276469.5690486,0
1688276469.5701637,0
1688276469.5712786,0
1688276469.5723925,0
1688276469.573509,0
1688276469.5746224,0
1688276469.5757365,0
1688276469.5768514,0
1688276469.5779674,0
1688276469.5790827,0
1688276469.580198,0
1688276469.5813138,0
1688276469.5824282,0
1688276469.5835414,0
1688276469.5846562,0
1688276469.5857737,0
1688276469.5868886,0
1688276469.588002,0
1688276469.5891156,0
1688276469.5902297,0
1688276469.591344,0
1688276469.5924578,0
1688276469.5935743,0
1688276469.5946906,0
1688276469.5958042,0
1688276469.596918,0
1688276469.5980675,0
1688276469.5991895,0
1688276469.6003122,0
1688276469.6014311,0
1688276469.6025474,0
1688276469.6036618,0
1688276469.6047761,0
1688276469.605893,0
1688276469.607007,0
1688276469.6081219,0
1688276469.6092377,0
1688276469.6103528,0
1688276469.611468,0
1688276469.6125815,0
1688276469.6136973,0
1688276469.6148114,0
1688276469.6159256,0
1688276469.617041,0
1688276469.6181555,0
1688276469.6192694,0
1688276469.6203835,0
1688276469.6215007,0
1688276469.6226153,0
1688276469.6237297,0
1688276469.6248438,0
1688276469.6259599,0
1688276469.6270745,0
1688276469.6281888,0
1688276469.6293068,0
1688276469.630421,0
1688276469.6315403,0
1688276469.6326613,0
1688276469.6341054,0
1688276469.6352592,0
1688276469.6363761,0
1688276469.6374962,0
1688276469.638697,0
1688276469.640431,0
1688276469.6415854,0
1688276469.6431637,0
1688276469.6443145,0
1688276469.645459,0
1688276469.646619,0
1688276469.6477602,0
1688276469.6488779,0
1688276469.649999,0
1688276469.651121,0
1688276469.6522357,0
1688276469.653354,0
1688276469.6544719,0
1688276469.6555862,0
1688276469.656704,0
1688276469.6578248,0
1688276469.6589448,0
1688276469.6600626,0
1688276469.6611855,0
1688276469.6623073,0
1688276469.6634605,0
1688276469.6645744,0
1688276469.6656878,0
1688276469.6668017,0
1688276469.667913,0
1688276469.6690242,0
1688276469.670137,0
1688276469.671247,0
1688276469.672364,0
1688276469.6734784,0
1688276469.6746194,0
1688276469.6757798,0
1688276469.6769073,0
1688276469.6782436,0
1688276469.679384,0
1688276469.6805024,0
1688276469.681623,0
1688276469.6827374,0
1688276469.683881,0
1688276469.6850471,0
1688276469.6862195,0
1688276469.687378,0
1688276469.6885233,0
1688276469.6896808,0
1688276469.6908267,0
1688276469.691944,0
1688276469.6930652,0
1688276469.694181,0
1688276469.6953037,0
1688276469.69642,0
1688276469.6975362,0
1688276469.6986508,0
1688276469.6997652,0
1688276469.7008793,0
1688276469.7019958,0
1688276469.7031102,0
1688276469.7042243,0
1688276469.7053406,0
1688276469.7064555,0
1688276469.7075694,0
1688276469.7086835,0
1688276469.7097979,0
1688276469.710912,0
1688276469.7120254,0
1688276469.7131422,0
1688276469.714257,0
1688276469.7153707,0
1688276469.7164857,0
1688276469.7176034,0
1688276469.7187178,0
1688276469.7198312,0
1688276469.720975,0
1688276469.7220912,0
1688276469.7232058,0
1688276469.7243218,0
1688276469.725438,0
1688276469.7265518,0
1688276469.7276664,0
1688276469.7287805,0
1688276469.7298973,0
1688276469.7310088,0
1688276469.7321188,0
1688276469.7332377,0
1688276469.7343547,0
1688276469.735469,0
1688276469.736582,0
1688276469.7376988,0
1688276469.738813,0
1688276469.7399263,0
1688276469.7410429,0
1688276469.7421584,0
1688276469.743273,0
1688276469.7443914,0
1688276469.7455082,0
1688276469.7466218,0
1688276469.7477362,0
1688276469.7488494,0
1688276469.7499657,0
1688276469.7510793,0
1688276469.752193,0
1688276469.7533092,0
1688276469.7544224,0
1688276469.7555363,0
1688276469.75665,0
1688276469.7577658,0
1688276469.7588809,0
1688276469.759994,0
1688276469.76111,0
1688276469.7622232,0
1688276469.7633367,0
1688276469.7644844,0
1688276469.765602,0
1688276469.7667165,0
1688276469.7678306,0
1688276469.7689693,0
1688276469.7700858,0
1688276469.7712004,0
1688276469.772314,0
1688276469.7734294,0
1688276469.7745438,0
1688276469.7756596,0
1688276469.7767735,0
1688276469.7778895,0
1688276469.7790039,0
1688276469.7801175,0
1688276469.7812343,0
1688276469.782348,0
1688276469.7834613,0
1688276469.7845752,0
1688276469.7856915,0
1688276469.7868063,0
1688276469.7879207,0
1688276469.789037,0
1688276469.7901502,0
1688276469.791264,0
1688276469.7923772,0
1688276469.7934935,0
1688276469.7946076,0
1688276469.7957215,0
1688276469.7968354,0
1688276469.7979512,0
1688276469.799065,0
1688276469.8001783,0
1688276469.8012946,0
1688276469.8024087,0
1688276469.8035219,0
1688276469.8046358,0
1688276469.805752,0
1688276469.8068662,0
1688276469.8079808,0
1688276469.8090968,0
1688276469.8102114,0
1688276469.811326,0
1688276469.8124392,0
1688276469.8135555,0
1688276469.8146696,0
1688276469.815783,0
1688276469.816896,0
1688276469.81801,0
1688276469.819137,0
1688276469.8202498,0
1688276469.821366,0
1688276469.8224792,0
1688276469.8235934,0
1688276469.824707,0
1688276469.8258224,0
1688276469.8269372,0
1688276469.8280506,0
1688276469.829167,0
1688276469.8302808,0
1688276469.831395,0
1688276469.8325078,0
1688276469.8336241,0
1688276469.834738,0
1688276469.8358505,0
1688276469.8369665,0
1688276469.8380811,0
1688276469.8391948,0
1688276469.8403132,0
1688276469.8414466,0
1688276469.8425722,0
1688276469.843689,0
1688276469.8448038,0
1688276469.8459191,0
1688276469.8470337,0
1688276469.8481479,0
1688276469.8492656,0
1688276469.8503802,0
1688276469.851496,0
1688276469.85261,0
1688276469.8537254,0
1688276469.8548398,0
1688276469.8559537,0
1688276469.8570688,0
1688276469.858186,0
1688276469.8592997,0
1688276469.8604136,0
1688276469.8615274,0
1688276469.8626428,0
1688276469.8637571,0
1688276469.8649008,0
1688276469.8660457,0
